ticker,filed_date,fiscal_end,surprise,seasonal_change,source_accn,source_concept
CVX,2010-05-05,2010-03-31,2.3400979008779705,0.0160715554187483,0000950123-10-044204,NetIncomeLoss
AAPL,2010-07-21,2010-06-26,2.1716798667467563,0.0220162224797219,0001193125-10-162840,NetIncomeLoss
AMZN,2010-07-23,2010-06-30,0.8406209866284384,0.0052432040009679,0001193125-10-164083,NetIncomeLoss
BA,2010-07-28,2010-06-30,-0.1312860589822344,-0.0033095443494627,0001193125-10-168724,NetIncomeLoss
CVX,2010-08-05,2010-06-30,1.2169770781524951,0.0213338301910961,0000950123-10-073101,NetIncomeLoss
BAC,2010-08-06,2010-06-30,-0.0602288069277584,-4.272640127790013e-05,0000950123-10-074181,NetIncomeLoss
CAT,2010-08-26,2010-06-30,0.745852736513127,0.0057149660673889,0001104659-10-046030,NetIncomeLoss
BA,2010-10-20,2010-09-30,1.6861105143233206,0.036812731900279,0001193125-10-232425,NetIncomeLoss
AMZN,2010-10-22,2010-09-30,0.4132119424449102,0.0022595678576472,0001193125-10-233883,NetIncomeLoss
AAPL,2010-10-27,2010-09-25,2.527381302959185,0.023622361438091,0001193125-10-238044,NetIncomeLoss
CAT,2010-11-04,2010-09-30,0.7644252853080373,0.0062944096557541,0001104659-10-055930,NetIncomeLoss
BAC,2010-11-05,2010-09-30,-4.3541709012197485,-0.002691844114102,0000950123-10-101545,NetIncomeLoss
CVX,2010-11-05,2010-09-30,-0.0168116958244973,-0.0003555324804316,0000950123-10-101589,NetIncomeLoss
COST,2010-12-17,2010-11-21,1.098542297018326,0.0017663095649502,0001193125-10-283424,NetIncomeLoss
AAPL,2011-01-19,2010-12-25,3.4089179345909333,0.0302736851813423,0001193125-11-010144,NetIncomeLoss
AMZN,2011-01-28,2010-12-31,0.3257852030653289,0.0017023993190402,0001193125-11-016253,NetIncomeLoss
BA,2011-02-09,2010-12-31,-0.0592215459547158,-0.0015168088674979,0001193125-11-028490,NetIncomeLoss
CAT,2011-02-22,2010-12-31,1.3874468650412584,0.011496407372696,0001104659-11-008938,NetIncomeLoss
CVX,2011-02-24,2010-12-31,0.6175310828912137,0.0120420633331348,0000950123-10-101589;0000950123-11-017688,NetIncomeLoss
BAC,2011-02-25,2010-12-31,-0.39622832838221,-0.0004635947846028,0000950123-10-101545;0000950123-11-018743,NetIncomeLoss
COST,2011-03-17,2011-02-13,1.349655396543316,0.001905428526987,0001193125-11-069779,NetIncomeLoss
AAPL,2011-04-21,2011-03-26,3.2533331576069338,0.030694175166484,0001193125-11-104388,NetIncomeLoss
AMZN,2011-04-27,2011-03-31,-1.1515569991700338,-0.0058049994076531,0001193125-11-110197,NetIncomeLoss
BA,2011-04-27,2011-03-31,0.0415654113021587,0.0009744037230948,0001193125-11-111215,NetIncomeLoss
CVX,2011-05-05,2011-03-31,0.4432814260721266,0.0085192260290855,0000950123-11-045356,NetIncomeLoss
